,fighter_name,date_rmean,knock_down_rmean,sig_strike_pct_rmean,takdown_pct_rmean,submission_att_rmean,pass_rmean,rev_rmean,knock_down,sig_strikes,sig_strike_pct,total_strikes,takedown,takdown_pct,submission_att,pass,rev,head,body,leg,distance,clinch,ground,height,weight,reach,stance,DOB,date,Winner,win_by,last_round,Fight_type,0_kd,1_kd,2_kd,3_kd,4_kd,5_kd,0_rev,1_rev,2_rev,3_rev,5_rev,4_rev,Orthodox,Southpaw,,Switch,Open Stance,Sideways,Submission,Decision - Unanimous,TKO - Doctor's Stoppage,KO/TKO,Decision - Split,Decision - Majority,Could Not Continue,DQ,Overturned,Other,1_round(s),3_round(s),2_round(s),5_round(s),4_round(s)
10,Aaron Riley,2011-09-24,0.0,0.3466666666666666,0.25666666666666665,0.0,1.6666666666666667,0.0,0,11 of 49,0.22,11 of 49,0 of 0,0.0,0,0,0,3 of 35,4 of 7,4 of 7,11 of 49,0 of 0,0 of 0,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2011-09-24,Tony Ferguson,TKO - Doctor's Stoppage,1,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
11,Aaron Riley,2013-07-27,0.0,0.28666666666666657,0.1233333333333333,0.0,1.3333333333333333,0.0,0,26 of 172,0.15,26 of 172,0 of 0,0.0,0,0,0,10 of 123,8 of 34,8 of 15,23 of 169,3 of 3,0 of 0,"5' 8""",155.0,"69""",Southpaw,"Dec 09, 1980",2013-07-27,Justin Salas,Decision - Split,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
12,Aaron Rosa,2011-06-11,,,,,,,0,73 of 179,0.4,135 of 258,0 of 1,0.0,0,0,0,56 of 158,13 of 16,4 of 5,62 of 160,11 of 19,0 of 0,"6' 4""",205.0,"78""",Orthodox,"May 28, 1983",2011-06-11,Joey Beltran,KO/TKO,3,Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
13,Aaron Rosa,2011-11-12,0.0,0.4,0.0,0.0,0.0,0.0,0,59 of 99,0.59,256 of 311,0 of 0,0.0,0,0,0,25 of 63,29 of 31,5 of 5,18 of 55,41 of 44,0 of 0,"6' 4""",205.0,"78""",Orthodox,"May 28, 1983",2011-11-12,Aaron Rosa,Decision - Majority,3,Light Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
14,Aaron Rosa,2012-03-02,0.0,0.495,0.0,0.0,0.0,0.0,0,0 of 12,0.0,16 of 29,0 of 0,0.0,0,0,0,0 of 12,0 of 0,0 of 0,0 of 12,0 of 0,0 of 0,"6' 4""",205.0,"78""",Orthodox,"May 28, 1983",2012-03-02,James Te Huna,KO/TKO,1,Light Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
15,Aaron Simpson,2009-04-01,,,,,,,1,16 of 27,0.59,27 of 40,1 of 1,1.0,0,0,0,11 of 22,3 of 3,2 of 2,3 of 5,2 of 2,11 of 20,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2009-04-01,Aaron Simpson,KO/TKO,1,Middleweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
16,Aaron Simpson,2009-08-29,1.0,0.59,1.0,0.0,0.0,0.0,1,25 of 50,0.5,39 of 66,3 of 3,1.0,0,0,0,21 of 45,2 of 3,2 of 2,8 of 20,3 of 3,14 of 27,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2009-08-29,Aaron Simpson,KO/TKO,2,Middleweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
17,Aaron Simpson,2010-01-11,1.0,0.5449999999999999,1.0,0.0,0.0,0.0,0,36 of 108,0.33,74 of 149,2 of 6,0.33,0,3,0,22 of 85,12 of 20,2 of 3,14 of 66,19 of 37,3 of 5,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2010-01-11,Aaron Simpson,Decision - Split,3,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
18,Aaron Simpson,2010-06-19,0.6666666666666666,0.47333333333333333,0.7766666666666667,0.0,1.0,0.0,0,43 of 78,0.55,56 of 94,2 of 10,0.2,1,1,0,28 of 59,9 of 13,6 of 6,19 of 50,20 of 22,4 of 6,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2010-06-19,Chris Leben,KO/TKO,2,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
19,Aaron Simpson,2010-11-20,0.3333333333333333,0.45999999999999996,0.5100000000000001,0.3333333333333333,1.3333333333333333,0.0,0,43 of 118,0.36,70 of 146,5 of 11,0.45,0,0,0,21 of 90,18 of 24,4 of 4,27 of 85,14 of 30,2 of 3,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2010-11-20,Mark Munoz,Decision - Unanimous,3,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
20,Aaron Simpson,2011-03-26,0.0,0.4133333333333333,0.3266666666666667,0.3333333333333333,1.3333333333333333,0.0,0,59 of 75,0.78,122 of 158,10 of 26,0.38,0,4,0,12 of 28,4 of 4,43 of 43,3 of 12,36 of 36,20 of 27,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2011-03-26,Aaron Simpson,Decision - Unanimous,3,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
21,Aaron Simpson,2011-07-02,0.0,0.5633333333333331,0.34333333333333343,0.3333333333333333,1.6666666666666667,0.0,0,43 of 66,0.65,127 of 156,2 of 15,0.13,2,0,0,13 of 30,7 of 8,23 of 28,8 of 21,32 of 42,3 of 3,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2011-07-02,Aaron Simpson,Decision - Unanimous,3,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
22,Aaron Simpson,2011-10-08,0.0,0.5966666666666665,0.32000000000000006,0.6666666666666666,1.3333333333333333,0.0,2,58 of 140,0.41,63 of 145,0 of 0,0.0,0,0,0,41 of 109,17 of 31,0 of 0,43 of 111,13 of 24,2 of 5,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2011-10-08,Aaron Simpson,Decision - Unanimous,3,Middleweight Bout,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
23,Aaron Simpson,2012-02-15,0.6666666666666666,0.6133333333333332,0.17000000000000007,0.6666666666666666,1.3333333333333333,0.0,1,55 of 84,0.65,75 of 104,0 of 5,0.0,0,0,0,34 of 61,11 of 13,10 of 10,24 of 47,13 of 14,18 of 23,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2012-02-15,Ronny Markes,Decision - Split,3,Middleweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24,Aaron Simpson,2012-07-11,1.0,0.5699999999999997,0.04333333333333341,0.6666666666666666,0.0,0.0,0,48 of 70,0.68,97 of 135,6 of 14,0.42,0,3,0,27 of 47,10 of 12,11 of 11,5 of 17,18 of 22,25 of 31,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2012-07-11,Aaron Simpson,Decision - Unanimous,3,Welterweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
25,Aaron Simpson,2012-10-05,1.0,0.5799999999999997,0.1400000000000001,0.0,1.0,0.0,1,28 of 44,0.63,50 of 72,1 of 1,1.0,1,1,0,23 of 32,4 of 11,1 of 1,10 of 20,14 of 20,4 of 4,"6' 0""",170.0,"73""",Orthodox,"Jul 20, 1974",2012-10-05,Mike Pierce,KO/TKO,2,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
26,Aaron Wilkinson,2010-12-04,,,,,,,0,0 of 1,0.0,0 of 1,1 of 1,1.0,0,0,1,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,"5' 10""",155.0,,,"Jan 31, 1987",2010-12-04,Cody McKenzie,Submission,1,Lightweight Bout,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,Abdul Razak Alhassan,2016-11-19,,,,,,,3,12 of 22,0.54,12 of 22,0 of 0,0.0,0,0,0,12 of 22,0 of 0,0 of 0,7 of 16,2 of 2,3 of 4,"5' 10""",170.0,"73""",Orthodox,"Aug 11, 1985",2016-11-19,Abdul Razak Alhassan,KO/TKO,1,Welterweight Bout,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
28,Abdul Razak Alhassan,2017-05-28,3.0,0.54,0.0,0.0,0.0,0.0,0,43 of 99,0.43,44 of 102,0 of 0,0.0,0,0,1,37 of 88,3 of 5,3 of 6,37 of 91,6 of 8,0 of 0,"5' 10""",170.0,"73""",Orthodox,"Aug 11, 1985",2017-05-28,Omari Akhmedov,Decision - Split,3,Welterweight Bout,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
29,Abdul Razak Alhassan,2017-12-02,1.5,0.485,0.0,0.0,0.0,0.5,1,27 of 61,0.44,34 of 70,1 of 3,0.33,0,0,0,22 of 55,2 of 2,3 of 4,18 of 48,9 of 13,0 of 0,"5' 10""",170.0,"73""",Orthodox,"Aug 11, 1985",2017-12-02,Abdul Razak Alhassan,KO/TKO,1,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
30,Abdul Razak Alhassan,2018-01-20,1.3333333333333333,0.47,0.11,0.0,0.0,0.3333333333333333,1,13 of 33,0.39,20 of 42,0 of 0,0.0,0,0,0,11 of 29,0 of 1,2 of 3,11 of 28,2 of 5,0 of 0,"5' 10""",170.0,"73""",Orthodox,"Aug 11, 1985",2018-01-20,Abdul Razak Alhassan,KO/TKO,1,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
31,Abdul Razak Alhassan,2018-09-08,0.6666666666666666,0.41999999999999993,0.11,0.0,0.0,0.3333333333333333,1,15 of 21,0.71,15 of 21,0 of 0,0.0,0,0,0,11 of 17,3 of 3,1 of 1,14 of 20,1 of 1,0 of 0,"5' 10""",170.0,"73""",Orthodox,"Aug 11, 1985",2018-09-08,Abdul Razak Alhassan,KO/TKO,1,Welterweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
32,Abdul-Kerim Edilov,2017-09-02,,,,,,,0,77 of 125,0.61,150 of 210,2 of 2,1.0,1,0,0,59 of 105,16 of 17,2 of 3,9 of 22,6 of 12,62 of 91,"6' 2""",205.0,"78""",Orthodox,"Nov 25, 1991",2017-09-02,Abdul-Kerim Edilov,KO/TKO,2,Light Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
33,Abel Trujillo,2012-12-08,,,,,,,1,57 of 75,0.76,94 of 117,1 of 1,1.0,2,0,0,22 of 36,28 of 32,7 of 7,1 of 10,28 of 33,28 of 32,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2012-12-08,Abel Trujillo,KO/TKO,2,Lightweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
34,Abel Trujillo,2013-05-25,1.0,0.76,1.0,2.0,0.0,0.0,0,11 of 30,0.36,18 of 39,1 of 1,1.0,0,1,0,8 of 27,3 of 3,0 of 0,4 of 21,4 of 4,3 of 5,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2013-05-25,Khabib Nurmagomedov,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
35,Abel Trujillo,2013-08-28,0.5,0.56,1.0,1.0,0.5,0.0,0,50 of 123,0.4,57 of 130,1 of 1,1.0,0,1,0,42 of 115,3 of 3,5 of 5,35 of 104,7 of 10,8 of 9,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2013-08-28,,Could Not Continue,2,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
36,Abel Trujillo,2013-12-14,0.3333333333333333,0.5066666666666667,1.0,0.6666666666666666,0.6666666666666666,0.0,0,43 of 64,0.67,48 of 69,5 of 6,0.83,0,2,0,29 of 48,11 of 13,3 of 3,15 of 33,11 of 12,17 of 19,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2013-12-14,Abel Trujillo,KO/TKO,2,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
37,Abel Trujillo,2014-02-01,0.0,0.4766666666666666,0.9433333333333334,0.0,1.3333333333333333,0.0,1,18 of 79,0.22,27 of 88,0 of 3,0.0,0,0,0,17 of 75,1 of 4,0 of 0,12 of 62,6 of 17,0 of 0,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2014-02-01,Abel Trujillo,KO/TKO,2,Lightweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
38,Abel Trujillo,2014-12-06,0.3333333333333333,0.43,0.61,0.0,1.0,0.0,1,15 of 76,0.19,16 of 77,2 of 5,0.4,0,0,0,14 of 75,1 of 1,0 of 0,11 of 60,1 of 9,3 of 7,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2014-12-06,Tony Ferguson,Submission,2,Lightweight Bout,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
39,Abel Trujillo,2015-11-07,0.6666666666666666,0.36000000000000004,0.41,0.0,0.6666666666666666,0.0,0,0 of 0,0.0,5 of 5,0 of 0,0.0,0,0,0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2015-11-07,Abel Trujillo,DQ,1,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
40,Abel Trujillo,2016-01-02,0.6666666666666666,0.1366666666666667,0.13333333333333333,0.0,0.0,0.0,0,4 of 11,0.36,4 of 11,0 of 2,0.0,1,0,0,2 of 8,2 of 3,0 of 0,3 of 10,1 of 1,0 of 0,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2016-01-02,Abel Trujillo,Submission,1,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
41,Abel Trujillo,2016-05-29,0.3333333333333333,0.18333333333333335,0.13333333333333333,0.3333333333333333,0.0,0.0,0,35 of 80,0.43,57 of 102,3 of 3,1.0,0,0,0,29 of 72,6 of 8,0 of 0,25 of 63,4 of 7,6 of 10,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2016-05-29,Abel Trujillo,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
42,Abel Trujillo,2017-02-04,0.0,0.26333333333333336,0.3333333333333333,0.3333333333333333,0.0,0.0,0,11 of 33,0.33,14 of 36,1 of 5,0.2,0,0,0,9 of 30,1 of 2,1 of 1,11 of 32,0 of 1,0 of 0,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2017-02-04,James Vick,Submission,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
43,Abel Trujillo,2017-12-16,0.0,0.37333333333333335,0.39999999999999997,0.3333333333333333,0.0,0.0,0,29 of 91,0.31,30 of 93,1 of 6,0.16,0,0,0,23 of 82,3 of 6,3 of 3,28 of 88,1 of 3,0 of 0,"5' 8""",155.0,"70""",Orthodox,"Sep 18, 1983",2017-12-16,John Makdessi,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
44,Abner Lloveras,2015-12-11,,,,,,,0,94 of 189,0.49,99 of 194,2 of 10,0.2,0,1,0,55 of 143,33 of 40,6 of 6,76 of 162,18 of 27,0 of 0,"5' 11""",155.0,"71""",,"Sep 04, 1982",2015-12-11,Chris Gruetzemacher,Decision - Unanimous,3,Lightweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
45,Abu Azaitar,2018-07-22,,,,,,,0,48 of 128,0.37,135 of 226,1 of 1,1.0,0,2,1,33 of 109,11 of 15,4 of 4,30 of 104,5 of 8,13 of 16,"5' 9""",185.0,"76""",Orthodox,"Mar 10, 1986",2018-07-22,Abu Azaitar,Decision - Unanimous,3,Middleweight Bout,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
46,Adam Cella,2013-04-06,,,,,,,0,2 of 12,0.16,4 of 14,0 of 0,0.0,0,0,0,1 of 8,0 of 2,1 of 2,2 of 12,0 of 0,0 of 0,"6' 2""",170.0,"78""",,"Jun 26, 1985",2013-04-06,Tor Troeng,Submission,1,Middleweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47,Adam Milstead,2016-05-29,,,,,,,0,58 of 116,0.5,61 of 119,0 of 0,0.0,0,0,0,52 of 107,5 of 8,1 of 1,47 of 100,9 of 14,2 of 2,"6' 3""",205.0,"76""",Orthodox,"Jul 03, 1987",2016-05-29,Adam Milstead,KO/TKO,2,Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
48,Adam Milstead,2017-02-04,0.0,0.5,0.0,0.0,0.0,0.0,0,1 of 1,1.0,3 of 5,0 of 0,0.0,0,0,0,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,"6' 3""",205.0,"76""",Orthodox,"Jul 03, 1987",2017-02-04,,Overturned,2,Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
49,Adam Milstead,2018-03-03,0.0,0.75,0.0,0.0,0.0,0.0,0,58 of 133,0.43,70 of 145,0 of 0,0.0,0,0,0,47 of 121,6 of 7,5 of 5,44 of 113,13 of 19,1 of 1,"6' 3""",205.0,"76""",Orthodox,"Jul 03, 1987",2018-03-03,Jordan Johnson,Decision - Split,3,Light Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
50,Adam Milstead,2018-12-15,0.0,0.6433333333333333,0.0,0.0,0.0,0.0,0,10 of 21,0.47,22 of 34,0 of 0,0.0,0,0,0,5 of 16,2 of 2,3 of 3,9 of 20,0 of 0,1 of 1,"6' 3""",205.0,"76""",Orthodox,"Jul 03, 1987",2018-12-15,Mike Rodriguez,KO/TKO,1,Light Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
51,Adam Wieczorek,2017-11-18,,,,,,,0,42 of 95,0.44,73 of 129,0 of 1,0.0,0,1,0,23 of 74,15 of 16,4 of 5,26 of 77,11 of 11,5 of 7,"6' 5""",250.0,"81""",Orthodox,"Feb 05, 1992",2017-11-18,Adam Wieczorek,Decision - Unanimous,3,Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
52,Adam Wieczorek,2018-04-14,0.0,0.44,0.0,0.0,1.0,0.0,0,13 of 27,0.48,14 of 28,0 of 0,0.0,1,0,0,2 of 14,4 of 6,7 of 7,10 of 22,1 of 1,2 of 4,"6' 5""",250.0,"81""",Orthodox,"Feb 05, 1992",2018-04-14,Adam Wieczorek,Submission,2,Heavyweight Bout,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
